"idFluxoDifusivo";"idCampanha";"idSitio";"batimetria";"intervalo";"CH4";"CO2";"dataMedida";"horaMedida"
"195";"1304";"13128";"3";\N;"-0.144536003";"32.380500793";"2004-11-17";"15:10:00"
"196";"1304";"13129";"8.1999998093";\N;"-0.086791202";"38.050998688";"2004-11-17";"12:45:00"
"197";"1308";"13130";"1.5";\N;"1.2574599981";"45.403301239";"2005-03-16";"16:00:00"
"198";"1308";"13131";"72.5";\N;"6.0845799446";"23.42040062";"2005-03-15";"09:27:00"
"199";"1308";"13132";"68.699996948";\N;"6.5894799232";"5.7839899063";"2005-03-15";"11:50:00"
"200";"1308";"13133";"40.599998474";\N;"4.7558498383";"9.2181797028";"2005-03-15";"14:30:00"
"201";"1308";"13134";"33.599998474";\N;"3.7873899937";"34.618099213";"2005-03-15";"13:23:00"
"202";"1308";"13135";"49";\N;"4.5487999916";"7.297249794";"2005-03-16";"09:38:00"
"203";"1308";"13137";"40";\N;"6.0823898315";"16.290100098";"2005-03-17";"09:20:00"
"204";"1308";"13138";"36";\N;"6.3349900246";"12.785400391";"2005-03-17";"10:07:00"
"205";"1308";"13139";"32.5";\N;"3.1800498962";"15.858499527";"2005-03-17";"10:50:00"
"206";"1308";"13136";"29";\N;"1.6574399471";"8.9761199951";"2005-03-16";"10:26:00"
"207";"1308";"13140";"35";\N;"1.6638799906";"16.379800797";"2005-03-16";"11:24:00"
"208";"1308";"13141";"16.799999237";\N;"3.0651800632";"17.406799316";"2005-03-17";"16:20:00"
"209";"1308";"13142";"9";\N;"0.0034328001";"28.095399857";"2005-03-17";"15:13:00"
"210";"1308";"13143";"4";\N;"0.227056995";"13.756500244";"2005-03-17";"13:40:00"
"211";"1311";"13130";"0.6000000238";\N;"1.3935300112";"28.624900818";"2005-08-23";"15:40:00"
"212";"1311";"13144";"78.400001526";\N;"0.74623698";"4.4341897964";"2005-08-21";"09:30:00"
"213";"1311";"13145";"57";\N;"3.7703499794";"4.2541499138";"2005-08-21";"11:15:00"
"214";"1311";"13146";"28.700000763";\N;"3.5848200321";"5.8332700729";"2005-08-21";"12:55:00"
"215";"1311";"13147";"25";\N;"2.5942599773";"4.2183599472";"2005-08-21";"12:10:00"
"216";"1311";"13148";"40.5";\N;"4.9046001434";"8.0932798386";"2005-08-23";"08:15:00"
"217";"1311";"13150";"24";\N;"2.5550200939";"5.6924200058";"2005-08-24";"10:40:00"
"218";"1311";"13138";"25.100000381";\N;"4.2036800385";"6.5180501938";"2005-08-24";"11:05:00"
"219";"1311";"13139";"23.5";\N;"1.3019000292";"7.7297201157";"2005-08-24";"11:40:00"
"220";"1311";"13149";"22.100000381";\N;"7.9788298607";"11.071100235";"2005-08-23";"09:20:00"
"221";"1311";"13151";"30.200000763";\N;"4.3292999268";"2.4666900635";"2005-08-22";"13:30:00"
"222";"1311";"13152";"8.6999998093";\N;"0.1063399985";"7.7682499886";"2005-08-22";"12:35:00"
"223";"1311";"13153";"1";\N;"-0.066975102";"10.261699677";"2005-08-22";"11:22:00"
"224";"1311";"13154";"1.5";\N;"0.0979916006";"19.940999985";"2005-08-22";"10:40:00"
"225";"1406";"14085";"1";\N;"0.0893701985";"37.89509964";"2006-03-28";"10:32:00"
"226";"1406";"14086";"51";\N;"0.5523430109";"3.1975901127";"2006-03-28";"15:37:00"
"227";"1406";"14092";"24.5";\N;"19.95759964";"43.776500702";"2006-03-28";"14:19:00"
