"idConcentracaoGasAgua";"idCampanha";"idSitio";"dataMedida";"horaMedida";"batimetria";"altura";"replica";"CH4";"CO2"
"229";"1004";"10074";"2003-11-26";\N;"16.399999619";"10";"1";"0.1285900027";"0.3841739893"
"230";"1004";"10074";"2003-11-26";\N;"16.399999619";"5";"1";"0.1293690056";"0.0429335982"
"231";"1004";"10074";"2003-11-26";\N;"16.399999619";"0.5";"1";"0.1932619959";"0.7147039771"
"232";"1004";"10075";"2003-11-26";\N;"40.099998474";"20";"1";"0.2248219997";"0.3170729876"
"233";"1004";"10075";"2003-11-26";\N;"40.099998474";"10";"1";"0.2102230042";"0.3176540136"
"234";"1004";"10075";"2003-11-26";\N;"40.099998474";"5";"1";"0.2305209935";"0.3874169886"
"235";"1004";"10075";"2003-11-26";\N;"40.099998474";"0.5";"1";"0.4945690036";"0.6708210111"
"236";"1004";"10075";"2003-11-26";\N;"40.099998474";"20";"2";"0.2328439951";"0.3360289931"
"237";"1004";"10075";"2003-11-26";\N;"40.099998474";"10";"2";"0.2574819922";"0.3817070127"
"238";"1004";"10075";"2003-11-26";\N;"40.099998474";"5";"2";"0.2264129966";"0.3310450017"
"239";"1004";"10075";"2003-11-26";\N;"40.099998474";"0.5";"2";"0.2005870044";"0.3148689866"
"240";"1004";"10072";"2003-11-25";\N;"45";"30";"3";"0.0702487007";"0.2796329856"
"241";"1004";"10072";"2003-11-25";\N;"45";"20";"3";"0.1948699951";"0.4154509902"
"242";"1004";"10072";"2003-11-25";\N;"45";"10";"3";"0.2366530001";"0.4041900039"
"243";"1004";"10072";"2003-11-25";\N;"45";"5";"3";"0.2313500047";"0.427839011"
"244";"1004";"10072";"2003-11-25";\N;"45";"0.5";"3";"0.217445001";"0.488985002"
"245";"1004";"10072";"2003-11-25";\N;"45";"0.5";"3";"0.2061129957";"0.3956100047"
"246";"1004";"10072";"2003-11-25";\N;"45";"0.5";"3";"0.2267280072";"0.4456019998"
"247";"1004";"10077";"2003-11-26";\N;"8.3000001907";"20";"1";"0.2695220113";"0.4371570051"
"248";"1004";"10077";"2003-11-26";\N;"8.3000001907";"10";"1";"0.3159730136";"0.5225099921"
"249";"1004";"10077";"2003-11-26";\N;"8.3000001907";"5";"1";"0.2893289924";"0.468614012"
"250";"1004";"10077";"2003-11-26";\N;"8.3000001907";"0";"1";"0.3088949919";"0.5074110031"
"251";"1004";"10076";"2003-11-26";\N;"14.300000191";"20";"1";"0.2432000041";"0.2743470073"
"252";"1004";"10076";"2003-11-26";\N;"14.300000191";"10";"1";"0.2443259954";"0.2729220092"
"253";"1004";"10076";"2003-11-26";\N;"14.300000191";"5";"1";"0.2434509993";"0.3246519864"
"254";"1004";"10076";"2003-11-26";\N;"14.300000191";"0";"1";"0.2210649997";"0.2922039926"
"255";"1004";"10076";"2003-11-26";\N;"14.300000191";"0";"1";"0.2504999936";"0.3174650073"
"256";"1004";"10073";"2003-11-25";\N;"16";"30";"1";"0.1864850074";"0.3363800049"
"257";"1004";"10073";"2003-11-25";\N;"16";"20";"1";"0.2383520007";"0.3968819976"
"258";"1004";"10073";"2003-11-25";\N;"16";"10";"1";"0.2434329987";"0.3602310121"
"259";"1004";"10073";"2003-11-25";\N;"16";"5";"1";"0.2811369896";"0.4567730129"
"260";"1004";"10073";"2003-11-25";\N;"16";"0";"1";"0.3889690042";"0.6049110293"
"261";"1004";"10073";"2003-11-25";\N;"16";"0";"1";"0.3646300137";"0.5655390024"
"262";"1004";"10071";"2003-11-25";\N;"21.600000381";"30";"1";"0.3139620125";"0.3715200126"
"263";"1004";"10071";"2003-11-25";\N;"21.600000381";"20";"1";"0.6361410022";"0.6715670228"
"264";"1004";"10071";"2003-11-25";\N;"21.600000381";"10";"1";"0.6464220285";"0.6323710084"
"265";"1004";"10071";"2003-11-25";\N;"21.600000381";"5";"1";"0.6224250197";"0.6357229948"
"266";"1004";"10071";"2003-11-25";\N;"21.600000381";"0";"1";"0.6053429842";"0.6413779855"
"267";"1004";"10071";"2003-11-25";\N;"21.600000381";"0";"1";"0.5933150053";"0.7391089797"
"268";"1004";"10078";"2003-11-26";\N;"16.299999237";"20";"2";"0.3816309869";"0.4367800057"
