"idFluxoBolhasInpe";"idCampanha";"idSitio";"profundidade";"CH4";"CH4_desvioPadrao";"CH4_amostras";"dataMedida";"horaMedida"
"215";"1307";"13118";"5";"1048.4499512";"353.759002685547";"7";"2005-08-24";"21:00:00"
"216";"1307";"13118";"5";"357.55599976";"129.210006713867";"7";"2005-08-24";"22:00:00"
"217";"1307";"13118";"5";"265.26998901";"114.621002197266";"7";"2005-08-24";"23:00:00"
"218";"1307";"13118";"5";"401.8500061";"195.766006469727";"7";"2005-08-25";"00:00:00"
"219";"1307";"13118";"5";"690.73199463";"368.111999511719";"7";"2005-08-25";"01:00:00"
"220";"1307";"13118";"5";"517.059021";"240.492004394531";"7";"2005-08-25";"02:00:00"
"221";"1307";"13118";"5";"456.7789917";"124.348999023438";"7";"2005-08-25";"03:00:00"
"222";"1307";"13118";"5";"489.04598999";"129.860000610352";"7";"2005-08-25";"04:00:00"
"223";"1307";"13118";"5";"521.04998779";"114.100997924805";"7";"2005-08-25";"05:00:00"
"224";"1307";"13118";"5";"501.20999146";"207.632995605469";"7";"2005-08-25";"06:00:00"
"225";"1307";"13118";"5";"917.81402588";"643.192993164062";"7";"2005-08-25";"07:00:00"
"226";"1307";"13118";"5";"528.45001221";"218.309997558594";"7";"2005-08-25";"08:00:00"
"227";"1307";"13118";"5";"488.25";"180.283004760742";"7";"2005-08-25";"09:00:00"
"228";"1307";"13118";"5";"501.28799438";"94.8647994995117";"7";"2005-08-25";"10:00:00"
"229";"1307";"13118";"5";"472.91799927";"78.5024032592773";"7";"2005-08-25";"11:00:00"
"230";"1307";"13118";"5";"410.15600586";"82.7029037475586";"7";"2005-08-25";"12:00:00"
"231";"1307";"13118";"5";"1179.8599854";"805.989990234375";"7";"2005-08-25";"13:00:00"
"232";"1307";"13118";"5";"962.5670166";"479.023986816406";"7";"2005-08-25";"14:00:00"
"233";"1307";"13118";"5";"566.63098145";"102.029998779297";"7";"2005-08-25";"15:00:00"
"234";"1307";"13118";"5";"676.48101807";"189.416000366211";"7";"2005-08-25";"16:00:00"
"235";"1307";"13118";"5";"574.25598145";"119.972999572754";"7";"2005-08-25";"17:00:00"
"236";"1307";"13118";"5";"495.20599365";"204.718002319336";"7";"2005-08-25";"18:00:00"
"237";"1307";"13118";"5";"514.28900146";"144.333999633789";"7";"2005-08-25";"19:00:00"
"238";"1307";"13118";"5";"586.11602783";"119.706001281738";"7";"2005-08-25";"20:00:00"
"239";"1307";"13118";"5";"582.12799072";"250.046997070312";"7";"2005-08-25";"21:00:00"
"240";"1307";"13118";"5";"669.9050293";"206.593002319336";"7";"2005-08-25";"22:00:00"
"241";"1307";"13118";"5";"214.27999878";"29.8159008026123";"7";"2005-08-25";"23:00:00"
"242";"1307";"13118";"5";"508.34100342";"277.924987792969";"7";"2005-08-26";"00:00:00"
"243";"1307";"13118";"5";"742.52001953";"306.772003173828";"7";"2005-08-26";"01:00:00"
"244";"1307";"13118";"5";"306.91000366";"72.8991012573242";"7";"2005-08-26";"02:00:00"
"245";"1307";"13118";"5";"597.2210083";"96.5585021972656";"7";"2005-08-26";"03:00:00"
"246";"1307";"13118";"5";"1105.5";"461.678985595703";"7";"2005-08-26";"04:00:00"
"247";"1307";"13118";"5";"799.94396973";"275.990997314453";"7";"2005-08-26";"05:00:00"
"248";"1307";"13118";"5";"490.2539978";"87.9404983520508";"7";"2005-08-26";"06:00:00"
"249";"1307";"13118";"5";"912.5670166";"554.960021972656";"7";"2005-08-26";"07:00:00"
"250";"1307";"13118";"5";"389.00698853";"130.75700378418";"7";"2005-08-26";"08:00:00"
"251";"1307";"13118";"5";"481.59899902";"84.4120025634766";"7";"2005-08-26";"09:00:00"
"252";"1307";"13118";"5";"658.02301025";"345.162994384766";"7";"2005-08-26";"10:00:00"
"253";"1307";"13118";"5";"607.5960083";"113.821998596191";"7";"2005-08-26";"11:00:00"
"254";"1307";"13118";"5";"883.82501221";"391.973999023438";"7";"2005-08-26";"12:00:00"
"255";"1307";"13118";"5";"896.37298584";"164.604995727539";"7";"2005-08-26";"13:00:00"
"256";"1307";"13118";"5";"823.36199951";"159.020004272461";"7";"2005-08-26";"14:00:00"
"257";"1307";"13118";"5";"663.42999268";"231.317993164062";"7";"2005-08-26";"15:00:00"
"258";"1307";"13118";"5";"1487.0799561";"950.650024414062";"7";"2005-08-26";"16:00:00"
"259";"1307";"13118";"5";"1069.9799805";"407.404998779297";"7";"2005-08-26";"17:00:00"
"260";"1307";"13118";"5";"2474.3200684";"887.315002441406";"7";"2005-08-26";"18:00:00"
"261";"1307";"13118";"5";"732.67199707";"196.858993530273";"7";"2005-08-26";"19:00:00"
"262";"1307";"13118";"5";"753.23602295";"337.674011230469";"7";"2005-08-26";"20:00:00"
"263";"1307";"13118";"5";"733.01000977";"161.936996459961";"7";"2005-08-26";"21:00:00"
"264";"1307";"13118";"5";"619.29602051";"210.925003051758";"7";"2005-08-26";"22:00:00"
"265";"1307";"13118";"5";"337.70401001";"87.8547973632812";"7";"2005-08-26";"23:00:00"
"266";"1307";"13118";"5";"463.93899536";"50.8436012268066";"7";"2005-08-27";"00:00:00"
"267";"1307";"13118";"5";"634.83898926";"174.878997802734";"7";"2005-08-27";"01:00:00"
"268";"1307";"13118";"5";"470.40301514";"160.434997558594";"7";"2005-08-27";"02:00:00"
"269";"1307";"13118";"5";"559.71801758";"63.492000579834";"7";"2005-08-27";"03:00:00"
"270";"1307";"13118";"5";"654.75";"193.160003662109";"7";"2005-08-27";"04:00:00"
"271";"1307";"13118";"5";"577.9699707";"111.680000305176";"7";"2005-08-27";"05:00:00"
"272";"1307";"13118";"5";"485.26699829";"91.7893981933594";"7";"2005-08-27";"06:00:00"
"273";"1307";"13118";"5";"804.20898438";"463.141998291016";"7";"2005-08-27";"07:00:00"
"274";"1307";"13118";"5";"410.56399536";"111.938003540039";"7";"2005-08-27";"08:00:00"
"275";"1307";"13118";"5";"511.5539856";"138.516006469727";"7";"2005-08-27";"09:00:00"
"276";"1307";"13118";"5";"419.52099609";"152.772994995117";"7";"2005-08-27";"10:00:00"
"277";"1307";"13118";"5";"506.19100952";"93.2563018798828";"7";"2005-08-27";"11:00:00"
"278";"1307";"13118";"5";"1209.1700439";"608.922973632812";"7";"2005-08-27";"12:00:00"
"279";"1307";"13118";"5";"1971.7800293";"147.082000732422";"7";"2005-08-27";"13:00:00"
"280";"1307";"13118";"5";"1237.1300049";"279.170013427734";"7";"2005-08-27";"14:00:00"
"281";"1307";"13118";"5";"765.51000977";"171.130996704102";"7";"2005-08-27";"15:00:00"
"282";"1307";"13118";"5";"520.90802002";"275.796997070312";"7";"2005-08-27";"16:00:00"
"283";"1307";"13118";"5";"339.89300537";"69.1949996948242";"7";"2005-08-27";"17:00:00"
"284";"1307";"13118";"5";"407.31201172";"112.137001037598";"7";"2005-08-27";"18:00:00"
"285";"1307";"13118";"5";"363.29199219";"126.34700012207";"7";"2005-08-27";"19:00:00"
"286";"1307";"13118";"5";"313.83898926";"103.208999633789";"7";"2005-08-27";"20:00:00"
"287";"1307";"13118";"5";"401.49798584";"124.396003723145";"7";"2005-08-27";"21:00:00"
"288";"1307";"13118";"5";"1020.6799927";"816.835998535156";"7";"2005-08-27";"22:00:00"
"289";"1307";"13118";"5";"399.20599365";"176.613006591797";"7";"2005-08-27";"23:00:00"
"290";"1307";"13118";"5";"700.27697754";"393.537994384766";"7";"2005-08-28";"00:00:00"
"291";"1307";"13118";"5";"760.9710083";"330.095001220703";"7";"2005-08-28";"01:00:00"
"292";"1307";"13118";"5";"574.1619873";"226.305999755859";"7";"2005-08-28";"02:00:00"
"293";"1307";"13118";"5";"483.70401001";"82.2769012451172";"7";"2005-08-28";"03:00:00"
"294";"1307";"13118";"5";"215.89100647";"30.0156993865967";"7";"2005-08-28";"04:00:00"
"295";"1307";"13118";"5";"283.60198975";"88.8498001098633";"7";"2005-08-28";"05:00:00"
"296";"1307";"13118";"5";"406.85400391";"169.391998291016";"7";"2005-08-28";"06:00:00"
"297";"1307";"13118";"5";"410.22299194";"161.888000488281";"7";"2005-08-28";"07:00:00"
